Año;GID_2;Provincia;Municipio;Regiones Tarifarias;Distribuidora;Zona;Zona Tarifaria
2024;ARG.1.1_1;Buenos Aires;Adolfo Alsina;4;CGP;F;Zona Fría
2024;ARG.1.2_1;Buenos Aires;Adolfo Gonzales Chaves;4;CGP;F;Zona Fría
2024;ARG.1.3_1;Buenos Aires;Alberti;4;CGP;F;Zona Fría
2024;ARG.1.4_1;Buenos Aires;Almirante Brown;2;Metrogas;R;Otra
2024;ARG.1.5_1;Buenos Aires;Ameghino;4;CGP;F;Zona Fría
2024;ARG.1.6_1;Buenos Aires;Arrecifes;4;CGP;F;Zona Fría
2024;ARG.1.7_1;Buenos Aires;Avellaneda;2;Metrogas;R;Otra
2024;ARG.1.8_1;Buenos Aires;Ayacucho;4;CGP;F;Zona Fría
2024;ARG.1.9_1;Buenos Aires;Azul;4;CGP;F;Zona Fría
2024;ARG.1.10_1;Buenos Aires;Bahía Blanca;5;CGP;F;Zona Fría
2024;ARG.1.11_1;Buenos Aires;Balcarce;4;CGP;F;Zona Fría
2024;ARG.1.12_1;Buenos Aires;Baradero;27;Litoral;F;Zona Fría
2024;ARG.1.13_1;Buenos Aires;Benito Juárez;4;CGP;F;Zona Fría
2024;ARG.1.14_1;Buenos Aires;Berazategui;2;Metrogas;R;Otra
2024;ARG.1.15_1;Buenos Aires;Berisso;4;CGP;F;Zona Fría
2024;ARG.1.16_1;Buenos Aires;Bolívar;4;CGP;F;Zona Fría
2024;ARG.1.17_1;Buenos Aires;Bragado;4;CGP;F;Zona Fría
2024;ARG.1.18_1;Buenos Aires;Brandsen;4;CGP;F;Zona Fría
2024;ARG.1.19_1;Buenos Aires;Campana;3;Naturgy BAN;R;Otra
2024;ARG.1.20_1;Buenos Aires;Cañuelas;4;CGP;F;Zona Fría
2024;ARG.1.21_1;Buenos Aires;Capitán Sarmiento;3;Naturgy BAN;R;Otra
2024;ARG.1.22_1;Buenos Aires;Carlos Casares;4;CGP;F;Zona Fría
2024;ARG.1.23_1;Buenos Aires;Carlos Tejedor;4;CGP;F;Zona Fría
2024;ARG.1.24_1;Buenos Aires;Carmen de Areco;3;Naturgy BAN;R;Otra
2024;ARG.1.25_1;Buenos Aires;Castelli;4;CGP;F;Zona Fría
2024;ARG.1.26_1;Buenos Aires;Chacabuco;4;CGP;F;Zona Fría
2024;ARG.1.27_1;Buenos Aires;Chascomús;4;CGP;F;Zona Fría
2024;ARG.1.28_1;Buenos Aires;Chivilcoy;4;CGP;F;Zona Fría
2024;ARG.1.29_1;Buenos Aires;Colón;27;Litoral;F;Zona Fría
2024;ARG.1.30_1;Buenos Aires;Coronel de Marina Leonardo Rosal;4;CGP;F;Zona Fría
2024;ARG.1.31_1;Buenos Aires;Coronel Dorrego;4;CGP;F;Zona Fría
2024;ARG.1.32_1;Buenos Aires;Coronel Pringles;4;CGP;F;Zona Fría
2024;ARG.1.33_1;Buenos Aires;Coronel Suárez;5;CGP;F;Zona Fría
2024;ARG.1.34_1;Buenos Aires;Daireaux;4;CGP;F;Zona Fría
2024;ARG.1.35_1;Buenos Aires;Dolores;4;CGP;F;Zona Fría
2024;ARG.1.36_1;Buenos Aires;Ensenada;4;CGP;F;Zona Fría
2024;ARG.1.37_1;Buenos Aires;Escobar;3;Naturgy BAN;R;Otra
2024;ARG.1.38_1;Buenos Aires;Esteban Echeverría;2;Metrogas;R;Otra
2024;ARG.1.39_1;Buenos Aires;Exaltación de la Cruz;3;Naturgy BAN;R;Otra
2024;ARG.1.40_1;Buenos Aires;Florencio Varela;2;Metrogas;R;Otra
2024;ARG.1.41_1;Buenos Aires;General Alvarado;4;CGP;F;Zona Fría
2024;ARG.1.42_1;Buenos Aires;General Alvear;4;CGP;F;Zona Fría
2024;ARG.1.43_1;Buenos Aires;General Arenales;4;CGP;F;Zona Fría
2024;ARG.1.44_1;Buenos Aires;General Belgrano;4;CGP;F;Zona Fría
2024;ARG.1.45_1;Buenos Aires;General Guido;4;CGP;F;Zona Fría
2024;ARG.1.46_1;Buenos Aires;General Juan Madariaga;4;CGP;F;Zona Fría
2024;ARG.1.47_1;Buenos Aires;General La Madrid;4;CGP;F;Zona Fría
2024;ARG.1.48_1;Buenos Aires;General Las Heras;3;Naturgy BAN;R;Otra
2024;ARG.1.49_1;Buenos Aires;General Lavalle;4;CGP;F;Zona Fría
2024;ARG.1.50_1;Buenos Aires;General Paz;4;CGP;F;Zona Fría
2024;ARG.1.51_1;Buenos Aires;General Pinto;4;CGP;F;Zona Fría
2024;ARG.1.52_1;Buenos Aires;General Pueyrredón;4;CGP;F;Zona Fría
2024;ARG.1.53_1;Buenos Aires;General Rodríguez;3;Naturgy BAN;R;Otra
2024;ARG.1.54_1;Buenos Aires;General San Martín;3;Naturgy BAN;R;Otra
2024;ARG.1.55_1;Buenos Aires;General Sarmiento;4;CGP;F;Zona Fría
2024;ARG.1.56_1;Buenos Aires;General Viamonte;4;CGP;F;Zona Fría
2024;ARG.1.57_1;Buenos Aires;General Villegas;4;CGP;F;Zona Fría
2024;ARG.1.58_1;Buenos Aires;Guaminí;4;CGP;F;Zona Fría
2024;ARG.1.59_1;Buenos Aires;Hipólito Yrigoyen;4;CGP;F;Zona Fría
2024;ARG.1.60_1;Buenos Aires;Junín;4;CGP;F;Zona Fría
2024;ARG.1.61_1;Buenos Aires;La Costa;4;CGP;F;Zona Fría
2024;ARG.1.62_1;Buenos Aires;La Matanza;4;CGP;F;Zona Fría
2024;ARG.1.63_1;Buenos Aires;La Plata;4;CGP;F;Zona Fría
2024;ARG.1.64_1;Buenos Aires;Lanús;2;Metrogas;R;Otra
2024;ARG.1.65_1;Buenos Aires;Laprida;4;CGP;F;Zona Fría
2024;ARG.1.66_1;Buenos Aires;Las Flores;4;CGP;F;Zona Fría
2024;ARG.1.67_1;Buenos Aires;Leandro N. Alem;4;CGP;F;Zona Fría
2024;ARG.1.68_1;Buenos Aires;Lincoln;4;CGP;F;Zona Fría
2024;ARG.1.69_1;Buenos Aires;Lobería;4;CGP;F;Zona Fría
2024;ARG.1.70_1;Buenos Aires;Lobos;4;CGP;F;Zona Fría
2024;ARG.1.71_1;Buenos Aires;Lomas de Zamora;2;Metrogas;R;Otra
2024;ARG.1.72_1;Buenos Aires;Luján;4;CGP;F;Zona Fría
2024;ARG.1.73_1;Buenos Aires;Magdalena;4;CGP;F;Zona Fría
2024;ARG.1.74_1;Buenos Aires;Maipú;4;CGP;F;Zona Fría
2024;ARG.1.75_1;Buenos Aires;Mar Chiquita;4;CGP;F;Zona Fría
2024;ARG.1.76_1;Buenos Aires;Marcos Paz;4;CGP;F;Zona Fría
2024;ARG.1.77_1;Buenos Aires;Mercedes;4;CGP;F;Zona Fría
2024;ARG.1.78_1;Buenos Aires;Merlo;4;CGP;F;Zona Fría
2024;ARG.1.79_1;Buenos Aires;Monte;4;CGP;F;Zona Fría
2024;ARG.1.80_1;Buenos Aires;Monte Hermoso;4;CGP;F;Zona Fría
2024;ARG.1.81_1;Buenos Aires;Moreno;4;CGP;F;Zona Fría
2024;ARG.1.82_1;Buenos Aires;Morón;4;CGP;F;Zona Fría
2024;ARG.1.83_1;Buenos Aires;Navarro;4;CGP;F;Zona Fría
2024;ARG.1.84_1;Buenos Aires;Necochea;4;CGP;F;Zona Fría
2024;ARG.1.85_1;Buenos Aires;Nueve de Julio;4;CGP;F;Zona Fría
2024;ARG.1.86_1;Buenos Aires;Olavarría;4;CGP;F;Zona Fría
2024;ARG.1.87_1;Buenos Aires;Patagones;12;CGS;P;Zona Patagónica
2024;ARG.1.88_1;Buenos Aires;Pehuajó;4;CGP;F;Zona Fría
2024;ARG.1.89_1;Buenos Aires;Pellegrini;4;CGP;F;Zona Fría
2024;ARG.1.90_1;Buenos Aires;Pergamino;27;Litoral;F;Zona Fría
2024;ARG.1.91_1;Buenos Aires;Pila;4;CGP;F;Zona Fría
2024;ARG.1.92_1;Buenos Aires;Pilar;4;CGP;F;Zona Fría
2024;ARG.1.93_1;Buenos Aires;Pinamar;4;CGP;F;Zona Fría
2024;ARG.1.94_1;Buenos Aires;Puán;4;CGP;F;Zona Fría
2024;ARG.1.95_1;Buenos Aires;Quilmes;2;Metrogas;R;Otra
2024;ARG.1.96_1;Buenos Aires;Ramallo;27;Litoral;F;Zona Fría
2024;ARG.1.97_1;Buenos Aires;Rauch;4;CGP;F;Zona Fría
